Line	logopath	ArticleFamily	ArticleReference	OptionReference	Pcs	Sale	News	InWebshop	Weight	RetailUnitPrice	ResellerUnitPrice	ResellerUnitDiscountPrice	DiscountQty	Thickness	LengthDiameter	Ballsize1	Ballsize2	SizeIn	Type	Type(de)	Type(fr)	Type(it)	Type(ch)	Type(pl)	Type(es)	Description	Description(de)	Description(fr)	Description(es)	Description(it)	Description(pl)	Description(ch)	BodyParts
STERLING SILVER	JCE28-CC	JCE28-CC	JCE28-CC	S-CC	1		YES	YES	28	55	19	17	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution BISHOP	Crystal Evolution Läufer	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE28-CC	JCE28-CC	JCE28-CC	S-BK	1		YES	YES	28	55	19	17	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution BISHOP	Crystal Evolution Läufer	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE29-CC	JCE29-CC	JCE29-CC	S-CC	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution ROOK	Crystal Evolution Turm	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE29-CC	JCE29-CC	JCE29-CC	S-BK	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution ROOK	Crystal Evolution Turm	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE30	JCE30	JCE30	S-LR	1		YES	YES	28	55	19	17	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution Strawberry	Crystal Evolution Erdbeere	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE31-AB	JCE31-AB	JCE31-AB	S-CC	1		YES	YES	28	55	19	17	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution Dolphin	Crystal Evolution Delfin	Crystal Evolution	Crystal Evolution				
STERLING SILVER	SINC7	SINC7	SINC7	S-DB	1			YES	2	39	19.9	19.5	3	1.6	14				Nipple Rounders	Brustwarzenpiercings	Piercing Tétons	Piercing per Capezzoli	Brustwarzenpiercings		Piercings para el pezón	Nipple Rounder							
STERLING SILVER	SINC12	SINC12	SINC12	S-CH	1		YES	YES	2	39	19.9	19.5	3	1.6	14				Nipple Rounders	Brustwarzenpiercings	Piercing Tétons	Piercing per Capezzoli	Brustwarzenpiercings		Piercings para el pezón	Nipple Rounder							
STERLING SILVER	SINC12	SINC12	SINC12	S-LB	1		YES	YES	2	39	19.9	19.5	3	1.6	14				Nipple Rounders	Brustwarzenpiercings	Piercing Tétons	Piercing per Capezzoli	Brustwarzenpiercings		Piercings para el pezón	Nipple Rounder							
STERLING SILVER	SINC12	SINC12	SINC12	S-RE	1		YES	YES	2	39	19.9	19.5	3	1.6	14				Nipple Rounders	Brustwarzenpiercings	Piercing Tétons	Piercing per Capezzoli	Brustwarzenpiercings		Piercings para el pezón	Nipple Rounder							
STERLING SILVER	SINC12	SINC12	SINC12	S-LP	1		YES	YES	2	39	19.9	19.5	3	1.6	14				Nipple Rounders	Brustwarzenpiercings	Piercing Tétons	Piercing per Capezzoli	Brustwarzenpiercings		Piercings para el pezón	Nipple Rounder							
STERLING SILVER	SINC16	SINC16	SINC16	S-CC	1		YES	YES	2	39	19.9	19.5	3	1.6	14				Nipple Rounders	Brustwarzenpiercings	Piercing Tétons	Piercing per Capezzoli	Brustwarzenpiercings		Piercings para el pezón	Nipple Rounder							
